2024-11-02 12:29:00,871 INFO    Thread-203 (_run_job):38806 [wandb_init.py:_jupyter_setup():480] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x30211c230>
2024-11-02 12:29:00,871 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():621] calling init triggers
2024-11-02 12:29:00,871 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():628] wandb.init called with sweep_config: {'dropout_prob': 0.3, 'lr': 0.01, 'optimizer_type': 'adam'}
config: {}
2024-11-02 12:29:00,871 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():671] starting backend
2024-11-02 12:29:00,871 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():675] sending inform_init request
2024-11-02 12:29:00,876 INFO    Thread-203 (_run_job):38806 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-11-02 12:29:00,877 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():688] backend started and connected
2024-11-02 12:29:00,885 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_config_callback():1390] config_cb None None {'dropout_prob': 0.3, 'lr': 0.01, 'optimizer_type': 'adam'}
2024-11-02 12:29:00,895 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_label_probe_notebook():1342] probe notebook
2024-11-02 12:29:00,896 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():783] updated telemetry
2024-11-02 12:29:00,926 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-02 12:29:01,363 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():867] starting run threads in backend
2024-11-02 12:29:01,458 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_console_start():2463] atexit reg
2024-11-02 12:29:01,458 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-02 12:29:01,458 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-02 12:29:01,458 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-02 12:29:01,458 INFO    Thread-203 (_run_job):38806 [wandb_init.py:init():911] run started, returning control to user process
2024-11-02 12:33:05,270 INFO    Thread-203 (_run_job):38806 [wandb_run.py:_finish():2158] finishing run abhinav7/SMAI_ASG_4_MultilabelCNN/dwn1e1rz
2024-11-02 12:33:05,276 INFO    Thread-203 (_run_job):38806 [jupyter.py:save_history():459] not saving jupyter history
2024-11-02 12:33:05,276 INFO    Thread-203 (_run_job):38806 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-11-02 12:33:05,276 INFO    Thread-203 (_run_job):38806 [wandb_init.py:_jupyter_teardown():462] cleaning up jupyter logic
